repo_full_name,majority_label,inspection_label,final_decision,rationale
AIDotNet/OpenCowork,CONVENTIONAL_SOFTWARE,AI_PRODUCT,,
Arindam200/awesome-ai-apps,AI_PRODUCT,EXCLUDE,,
Azure-Samples/art-voice-agent-accelerator,AI_PRODUCT,CONVENTIONAL_SOFTWARE,,
ChenZiHong-Gavin/weekly-vibe-coding,EXCLUDE,CONVENTIONAL_SOFTWARE,,
FavioVazquez/learnship,EXCLUDE,CONVENTIONAL_SOFTWARE,,
GreenteaOS/Caramel,CONVENTIONAL_SOFTWARE,EXCLUDE,,
Hacksore/cursed-repo,CONVENTIONAL_SOFTWARE,EXCLUDE,,
Lakr233/FlowDown,EXCLUDE,CONVENTIONAL_SOFTWARE,,
Menghuan1918/drawio2go,CONVENTIONAL_SOFTWARE,AI_PRODUCT,,
Nimble-Co/FoundryVTT-Nimble,EXCLUDE,CONVENTIONAL_SOFTWARE,,
OfficeDev/microsoft-365-agents-toolkit-samples,CONVENTIONAL_SOFTWARE,EXCLUDE,,
OpenCSGs/csghub-server,AI_PRODUCT,CONVENTIONAL_SOFTWARE,,
OvertliDS/overtli-studio-suite,AI_PRODUCT,CONVENTIONAL_SOFTWARE,,
Oyl-Wallet/oyl-amm,EXCLUDE,CONVENTIONAL_SOFTWARE,,
Paperspace/cli,CONVENTIONAL_SOFTWARE,AI_PRODUCT,,
