family,n,tie_count,conventional_count,ai_product_count,exclude_count,non_target_count,pct_conventional,pct_ai_product,pct_exclude,pct_non_target,non_target_ci_low,non_target_ci_high
Prompt paths,80,2,30,35,13,48,38.5,44.9,16.7,61.5,50.4,71.6
System prompts,58,0,12,32,14,46,20.7,55.2,24.1,79.3,67.2,87.7
CLAUDE/GEMINI,37,1,13,13,10,23,36.1,36.1,27.8,63.9,47.6,77.5
Copilot instructions,30,0,20,5,5,10,66.7,16.7,16.7,33.3,19.2,51.2
Editor rule files,28,0,12,9,7,16,42.9,32.1,25.0,57.1,39.1,73.5
AGENTS.md,25,0,12,6,7,13,48.0,24.0,28.0,52.0,33.5,70.0
Cursor rules,24,1,11,6,6,12,47.8,26.1,26.1,52.2,33.0,70.8
Aider config,12,0,9,2,1,3,75.0,16.7,8.3,25.0,8.9,53.2
Chat modes,6,0,4,0,2,2,66.7,0.0,33.3,33.3,9.7,70.0
